"","fheight","sheight"
"1",65.04851,59.77827
"2",63.25094,63.21404
"3",64.95532,63.34242
"4",65.7525,62.79238
"5",61.13723,64.28113
"6",63.02254,64.24221
"7",65.37053,64.08231
"8",64.72398,63.99574
"9",66.06509,64.61338
"10",66.96738,63.97944
"11",59.008,65.24451
"12",62.93203,65.35102
"13",63.67063,65.67992
"14",64.07386,65.43664
"15",64.68851,65.29391
"16",65.15466,64.79017
"17",66.37353,65.01881
"18",65.57704,65.5464
"19",67.36765,65.08145
"20",66.75929,65.49008
"21",67.79764,65.1352
"22",69.5348,65.51262
"23",62.54014,66.58436
"24",63.81016,66.37842
"25",64.4565,66.14782
"26",64.9665,65.97259
"27",64.70662,65.95887
"28",65.73829,66.45202
"29",65.50141,65.74797
"30",65.55416,65.97164
"31",66.90294,65.90548
"32",66.57388,65.90773
"33",66.53198,66.47103
"34",67.90613,65.75023
"35",68.29198,66.34666
"36",67.74123,66.08577
"37",68.46917,66.28037
"38",69.38327,66.34354
"39",71.81791,66.41711
"40",62.41615,67.22558
"41",64.49083,67.46394
"42",64.4876,66.99362
"43",63.92303,66.76647
"44",65.44592,67.0342
"45",65.02977,66.84316
"46",65.67038,69.2989
"47",68.66078,69.09114
"48",66.54597,61.66358
"49",64.85954,65.7288
"50",69.60692,68.98012
"51",64.8135,67.37397
"52",65.32703,67.17459
"53",65.83169,67.06712
"54",65.83427,67.29446
"55",65.56135,67.62665
"56",65.8688,67.47923
"57",65.77339,66.92162
"58",67.09116,67.58324
"59",66.61374,67.21191
"60",67.41075,66.81629
"61",67.27716,67.24268
"62",66.61134,67.51036
"63",68.17412,67.57026
"64",67.80555,67.17258
"65",68.32529,67.54129
"66",68.07787,67.37113
"67",68.96795,67.59714
"68",68.9255,67.25104
"69",69.60862,66.82533
"70",70.35646,66.72679
"71",70.00643,66.92996
"72",72.75425,67.64847
"73",62.82147,68.04291
"74",62.86855,68.4885
"75",63.91261,68.04777
"76",64.54118,68.34573
"77",64.51906,68.33829
"78",66.02688,68.3138
"79",65.81011,68.18333
"80",66.01812,68.51056
"81",65.53742,68.12014
"82",65.73346,68.31563
"83",66.77424,68.04774
"84",66.67869,68.61273
"85",66.97585,67.9425
"86",66.94021,68.08381
"87",66.84575,68.36754
"88",67.12008,67.85181
"89",67.74181,68.19806
"90",68.27194,68.01897
"91",67.60691,68.23431
"92",68.44737,67.89742
"93",67.65832,68.62409
"94",68.71193,67.97912
"95",69.32025,68.2668
"96",68.7403,67.94192
"97",69.13395,68.62072
"98",69.34995,68.23857
"99",68.6297,68.58554
"100",69.58258,68.06568
"101",70.39517,68.38188
"102",71.19284,67.75943
"103",70.82429,68.59991
"104",71.65367,67.91483
"105",73.28133,67.83861
"106",63.03753,68.77562
"107",63.66428,69.60782
"108",65.38311,69.69143
"109",64.60205,69.41491
"110",66.40661,69.68931
"111",65.76985,69.20775
"112",65.66729,69.45627
"113",66.05712,69.59614
"114",66.54635,69.27994
