v1 v2 v3 v4 v5 
-0.75052 -0.28223 0.22819 -0.084136 -0.24748 
-0.3938 -0.074787 -0.013689 0.072776 -0.36026 
-0.15599 0.35839 -0.11807 0.013815 -0.65672
-0.68392 -0.059086 -0.060048 -0.23148 -0.03806
-0.59474 0.14836 -0.097664 0.66782 -1.0545 
-0.53529 0.25375 -0.53025 -0.097325 -0.0024249 
-0.50556 0.19179 -0.23497 0.2337 -0.55354 
-0.44611 0.12126 0.18341 0.054326 -0.75053 
-0.29748 0.16715 0.014377 0.0094644 -0.58046 
-0.23802 -0.17056 0.24272 0.19838 -0.63616 
-0.2083 -0.060593 0.1758 -0.11394 -0.39288 
-0.17857 -0.39426 0.19021 -0.27655 0.097889 
-0.14884 0.074588 -0.075331 -0.18274 -0.20946 
-0.089391 -0.074203 0.39495 0.46368 -1.1446 
-0.059664 0.03276 0.035355 0.13773 -0.57867 
-0.029938 -0.38913 0.35356 0.46429 -0.76689 
0.029515 0.028377 0.15302 -0.30733 -0.28398 
0.059242 -0.32198 -0.1032 -0.16968 0.22936 
0.1187 0.044217 0.51377 0.0059019 -0.96994 
0.14842 0.18591 0.27233 0.03798 -0.89731 
0.17815 -0.030101 0.49694 0.24888 -1.0989 
-0.76596 0.082657 -0.17606 -0.089368 -0.19146 
-0.73623 -0.10774 -0.47777 0.14608 0.10861 
-0.7065 -0.3041 0.10506 0.17586 -0.32121 
-0.67678 0.17856 0.0060475 0.44407 -0.97981 
-0.64705 0.42386 0.06336 0.12443 -1.0039 
-0.61732 0.29886 -0.32054 -0.034302 -0.32107 
-0.40924 0.0028298 0.14958 -0.13078 -0.40949 
-0.37951 -0.28879 0.081875 -0.19103 0.027574 
-0.34978 -0.19444 0.087168 -0.10568 -0.15759 
-0.29033 -0.087465 -0.28434 0.06948 -0.044576 
-0.11197 -0.071369 0.0072148 0.30984 -0.59057 
-0.052518 0.0057546 -0.058221 -0.34541 0.0045897 
-0.022791 -0.41181 0.13633 -0.039971 -0.038982 
0.0069351 -0.028676 0.11295 0.15048 -0.59882 
0.066388 0.16177 0.23414 -0.13036 -0.66755 
0.096115 -0.12087 0.015574 -0.1166 -0.15063 
0.12584 -0.010166 0.26748 0.14155 -0.7722 
0.15557 -0.0381 0.14174 0.37641 -0.82881 
0.18529 -0.015472 -0.060006 0.088826 -0.37428 
0.21502 -0.15278 0.37995 -0.13516 -0.48143 
0.27447 -0.30168 -0.20745 -0.35506 0.49694 
-0.96689 0.20387 -0.067083 -0.048417 -0.46495 
-0.90744 -0.047634 -0.3341 -0.38189 0.39217 
-0.87771 0.0032235 0.068001 0.11898 -0.54865 
-0.84799 0.47425 -0.10982 -0.57493 -0.21865 
-0.81826 0.31951 0.44992 0.24725 -1.4045 
-0.78854 -0.082428 0.00055312 0.28204 -0.53831 
-0.75881 -0.058957 0.42678 -0.022527 -0.72721 
-0.66963 0.20704 0.0035137 -0.27406 -0.33275 
-0.58045 0.11057 -0.22586 -0.20635 -0.052581 
-0.55072 0.19729 -0.27717 0.27457 -0.53768 
-0.49127 0.13068 -0.37446 0.064651 -0.16989 
-0.46154 0.1313 -0.2676 -0.05203 -0.17421 
-0.34264 0.40439 0.07791 -0.079541 -0.80127 
-0.31291 -0.53045 0.076186 0.36974 -0.2226 
-0.194 0.27027 0.60183 0.13981 -1.4116 
-0.13455 -0.21856 -0.44796 0.15639 0.19337 
-0.045372 -0.0268 0.30727 -0.090763 -0.57275 
-0.015645 0.24993 0.11168 -0.2069 -0.55412 
0.014081 0.15192 0.063392 -0.060091 -0.53564 
0.073535 0.46893 -0.29317 0.10681 -0.65398 
0.10326 0.20514 -0.025496 0.092607 -0.64088 
0.13299 -0.15596 0.15966 0.17848 -0.53072 
0.16271 0.21519 0.055563 0.32895 -0.95605 
0.19244 -0.046699 -0.56129 0.34934 -0.049815 
0.25189 -0.066974 -0.072579 0.24821 -0.44665 
0.28162 0.40331 -0.051528 -0.12484 -0.62236 
0.31135 -0.40774 -0.13447 -0.12008 0.32268 
0.34107 0.080934 -0.15017 -0.3398 0.023535 
0.3708 0.09044 0.098799 -0.18258 -0.3936 
-1.257 -0.23673 -0.079264 -0.2035 0.16813 
-1.1976 0.38077 0.24112 0.23174 -1.2287 
-1.1678 0.14196 -0.19722 -0.2501 -0.067641 
-1.1084 0.086858 -0.14047 0.39888 -0.67131 
-1.0787 0.17816 -0.22089 0.027808 -0.33945 
-1.0489 -0.30342 -0.16691 0.093199 0.055359 
-1.0192 -0.29302 0.09072 -0.47892 0.3056 
-0.98947 0.24813 -0.16429 -0.42733 -0.050465 
-0.93002 0.16427 0.048281 0.10295 -0.67665 
-0.84084 0.2036 0.1108 -0.17733 -0.5237 
-0.78139 0.018982 0.12467 -0.29335 -0.23414 
-0.75166 -0.045624 -0.11929 0.092001 -0.2676 
-0.72194 0.39266 -0.15705 0.10854 -0.70947 
-0.69221 -0.23608 -0.22076 0.32416 -0.17431 
-0.60303 -0.18429 0.065202 -0.20917 -0.033817 
-0.54358 0.082975 -0.018718 -0.07623 -0.35354 
-0.42467 -0.13247 -0.36251 0.10404 0.068542 
-0.39494 -0.33677 -0.16766 -0.3301 0.48477 
-0.21658 -0.15075 0.0985 -0.10193 -0.204 
-0.18686 0.10075 -0.14616 -0.22491 -0.10075 
-0.097678 -0.070503 -0.27189 0.0057323 -0.0010407 
-0.067952 0.11653 -0.0076562 -0.15386 -0.32871 
-0.038225 -0.11563 -0.35189 0.30638 -0.14843 
0.021228 -0.30594 -0.056517 0.032985 -0.0017568 
0.050954 0.2087 0.49916 0.28671 -1.3672 
0.11041 -0.24961 0.0067999 0.053921 -0.14748 
0.14013 0.29995 0.043112 -0.16814 -0.56374 
0.19959 -0.073866 0.057095 0.20501 -0.52744 
0.22931 0.39178 -0.3514 -0.10566 -0.30584 
0.28877 0.024436 -0.0025861 -0.17534 -0.21615 
0.31849 0.062372 0.13289 0.060959 -0.61798 
0.34822 -0.047639 0.017946 0.17723 -0.48849 
0.37795 0.11446 -0.6213 0.067585 0.1111 
0.40767 0.28038 -0.072667 -0.10963 -0.47589 
0.46713 0.090751 -0.11484 -0.14935 -0.19313 
-1.4877 -0.17591 0.029464 -0.3957 0.17569 
-1.458 -0.029468 0.229 0.23321 -0.77335 
-1.4282 0.16307 -0.40946 0.0072291 -0.098906 
-1.3985 -0.12436 -0.028012 -0.30708 0.098811 
-1.3688 -0.09537 0.3289 0.22859 -0.8037 
-1.339 0.079602 0.011741 -0.01045 -0.43528 
-1.2796 -0.14223 -0.012992 0.1899 -0.35953 
-1.2499 0.013553 0.30922 -0.19722 -0.50342 
-1.2201 -0.050077 -0.43277 0.20628 -0.032672 
-1.1607 0.22483 -0.35905 -0.033707 -0.1794 
-1.1012 -0.23114 0.2989 -0.27725 -0.15805 
-1.0715 -0.21361 -0.29533 -0.49224 0.64593 
-1.0121 0.071411 0.32788 0.14758 -0.90476 
-0.98233 0.18632 -0.26978 -0.60707 0.3005 
-0.86342 0.0011052 0.20517 -0.20368 -0.3751 
-0.8337 -0.21675 -0.021015 -0.061097 -0.038734 
-0.74452 0.19587 0.022619 -0.25745 -0.34091 
-0.65534 -0.2521 0.37447 -0.31791 -0.17722 
-0.59588 -0.28119 -0.18443 -0.15199 0.28552 
-0.5067 0.039308 0.45952 -0.20933 -0.67712 
-0.47698 0.17236 0.45648 -0.20566 -0.81884 
-0.41752 0.16946 0.28773 0.58053 -1.3691 
-0.20944 0.061334 -0.30719 0.38228 -0.44627 
-0.12026 -0.38564 -0.16883 0.012541 0.22743 
-0.060806 0.16399 -0.12648 -0.19139 -0.21206 
0.028374 -0.16356 -0.42614 0.089651 0.18939 
0.11755 0.24833 0.11272 -0.26141 -0.48748 
0.20673 -0.29762 -0.27832 -0.034341 0.29215 
0.26619 0.25376 -0.1521 0.28455 -0.72272 
0.32564 0.24611 0.13053 0.18646 -0.91978 
0.35537 0.15097 -0.2851 0.30572 -0.49365 
0.38509 -0.17861 0.51261 0.2334 -0.91223 
0.41482 -0.091311 0.16544 -0.10959 -0.32257 
0.44455 -0.25215 0.25888 -0.43586 0.05357 
0.47427 -0.10599 -0.02911 0.040407 -0.24232 
-1.8075 -0.10621 0.37181 -0.4045 -0.24144 
-1.6886 -0.41675 -0.15114 -0.15442 0.40475 
-1.6589 -0.46199 0.00062248 -0.032472 0.1805 
-1.6292 -0.071347 -0.4795 0.057089 0.18521 
-1.5994 0.016285 0.11186 0.10491 -0.57234 
-1.5697 0.063473 -0.17952 0.086548 -0.30001 
-1.54 0.0030124 0.1807 -0.15273 -0.39109 
-1.5103 -0.023056 -0.00043598 0.21216 -0.51239 
-1.4508 -0.2136 0.037917 0.037246 -0.18751 
-1.3914 -0.20411 0.32302 -0.46198 -0.032801 
-1.3319 -0.022622 0.21051 0.10027 -0.63007 
-1.3022 -0.32108 0.15386 0.039051 -0.19642 
-1.2427 0.242 -0.077608 0.016502 -0.53163 
-1.1833 -0.12379 -0.12315 -0.034778 -0.047273 
-1.1535 0.35842 0.085455 -0.14659 -0.67492 
-1.1238 -0.31233 -0.24442 -0.25955 0.48913 
-1.0644 -0.11162 -0.1347 0.38258 -0.43573 
-1.0346 -0.0268 -0.11166 0.11789 -0.30426 
-1.0049 -0.40038 -0.45213 -0.28701 0.82603 
-0.94546 -0.14179 0.021153 0.10032 -0.30488 
-0.91573 -0.25296 -0.18091 0.23904 -0.10367 
-0.886 0.21913 0.055153 0.12919 -0.75116 
-0.82655 0.01322 -0.17056 0.08537 -0.25486 
-0.73737 -0.20724 0.065584 -0.14414 -0.054796 
-0.67792 0.18719 -0.099284 0.16711 -0.59051 
-0.61846 0.082781 -0.059275 0.0014235 -0.36753 
-0.55901 0.0014427 0.0047081 -0.15024 -0.20724 
-0.52928 -0.33644 0.28259 -0.13264 -0.15557 
-0.3212 0.076351 -0.044592 0.19819 -0.55884 
-0.23202 -0.32787 -0.018432 -0.068589 0.091386 
-0.20229 -0.15925 -0.33179 0.20102 -0.0098474 
-0.11311 0.056601 -0.21051 0.05888 -0.23451 
-0.053659 0.36351 0.12372 0.12087 -0.96885 
0.0057937 0.0155 -0.33432 0.32881 -0.31172 
0.18415 0.11483 0.02525 -0.14051 -0.3584 
0.30306 -0.049221 -0.33948 0.30487 -0.21524 
0.33279 -0.21388 0.47733 0.22195 -0.8194 
0.36251 0.2268 0.076016 -0.35999 -0.32684 
0.39224 -0.28389 -0.24282 -0.46763 0.65048 
0.45169 -0.28915 -0.099975 0.079463 -0.0018086 
0.48142 0.02281 -0.24312 0.15546 -0.25409 
0.51114 0.19347 0.0088135 -0.065084 -0.49485 
0.54087 -0.26629 -0.025584 0.13324 -0.15406 
0.5706 0.12282 0.20412 -0.036686 -0.65084 
-1.8004 -0.23462 0.17944 -0.24099 -0.047378 
-1.7707 -0.29388 -0.18216 -0.11522 0.27789 
-1.7409 0.49533 0.17075 0.22548 -1.2478 
-1.7112 0.27748 -0.12082 -0.15819 -0.35412 
-1.6815 -0.45789 0.075256 -0.38707 0.43495 
-1.6517 0.023515 0.095864 -0.012374 -0.44662 
-1.622 0.11988 -0.11403 -0.05658 -0.28801 
-1.5923 0.069967 0.14462 0.14696 -0.69512 
-1.5626 -0.39697 0.024468 0.057683 0.010323 
-1.5328 -0.087063 -0.055082 -0.27607 0.074137 
-1.5031 0.21926 0.11119 -0.25141 -0.44885 
-1.4734 -0.069833 0.12527 -0.22013 -0.18521 
-1.4437 0.22316 -0.099225 -0.068799 -0.40201 
-1.4139 0.11551 -0.30548 0.093728 -0.22226 
-1.3545 -0.27969 -0.15518 0.17373 -0.033852 
-1.295 -0.062941 0.020857 0.24053 -0.51094 
-1.2356 -0.051297 -0.062201 -0.25958 0.028247 
-1.1761 -0.023027 0.12098 -0.065405 -0.3742 
-1.0572 0.18595 0.026988 -0.056141 -0.50651 
-0.87886 0.20188 -0.027557 0.21769 -0.7206 
-0.73022 0.1318 0.26152 -0.14816 -0.60931 
-0.67077 0.13893 0.01234 -0.060816 -0.43681 
-0.46268 0.016478 -0.059504 -0.12692 -0.16987 
-0.34378 -0.45249 -0.049651 0.071387 0.13434 
-0.22487 0.056988 -0.062332 0.16976 -0.48554 
0.16157 0.21298 -0.1792 -0.43393 0.031785 
0.36966 0.2226 -0.057022 0.10377 -0.60594 
0.42911 0.28068 0.32471 0.52459 -1.4587 
0.48856 -0.20867 -0.17155 -0.089852 0.1526 
0.51829 0.16134 0.0205 -0.11249 -0.4212 
0.54802 0.25687 0.052299 0.0064448 -0.66659 
0.57774 0.034662 0.045789 -0.096651 -0.3277 
0.60747 -0.055988 -0.46527 0.088934 0.13208 
0.6372 -0.11633 -0.15908 -0.0036834 -0.03871 
-1.7932 0.09273 0.0093352 0.17046 -0.59163 
-1.7635 -0.18896 0.17135 0.26156 -0.54651 
-1.7338 -0.33053 -0.25716 0.23424 0.078624 
-1.7041 0.24481 -0.208 -0.10294 -0.27159 
-1.6743 -0.001713 -0.027629 0.075291 -0.36405 
-1.6446 -0.02226 -0.31939 0.16203 -0.11689 
-1.6149 0.45989 -0.16084 0.10407 -0.74202 
-1.5554 -0.0021693 0.032975 0.31908 -0.65353 
-1.5257 0.10042 0.09834 -0.024864 -0.5117 
-1.4662 -0.29803 0.15165 0.12846 -0.28627 
-1.3473 -0.00088546 -0.0077662 -0.011579 -0.30507 
-1.2879 -0.10549 0.25679 0.57171 -1.0129 
-1.169 -0.11524 -0.36441 0.16392 0.027419 
-0.90144 -0.28744 0.038086 -0.48447 0.39083 
